LoanGuid,Product Type,Branch Channel,Loan Purpose,LoanAmount,Funded D,cycle_days
92403386,NONCONFORMING,Wholesale,Purchase,229600.0,2024-04-15,20
92403395,NONCONFORMING,Wholesale,Refinance CashOut,448000.0,2024-04-29,34
82403396,CONVENTIONAL BOND STD MI,Wholesale,Purchase,412050.0,2024-08-06,29
82403401,NONCONFORMING,Wholesale,Purchase,1162500.0,2024-04-22,26
82403403,NONCONFORMING,Wholesale,Purchase,2317000.0,2024-04-22,26
82403404,ZERO INTEREST PROGRAM,Wholesale,Purchase,100500.0,2024-08-06,29
82403408,NONCONFORMING,Wholesale,Purchase,434000.0,2024-04-23,27
82403411,2ND,Wholesale,Refinance CashOut,250000.0,2024-05-29,63
82403413,FHA,Wholesale,Purchase,579000.0,2024-04-22,26
82403419,NONCONFORMING,Wholesale,Purchase,240000.0,2024-04-30,33
82403422,NONCONFORMING,Wholesale,Purchase,448000.0,2024-04-25,28
82403424,NONCONFORMING,Wholesale,Purchase,445000.0,2024-04-15,18
82403429,FHA,Wholesale,Purchase,747875.0,2024-04-16,19
82403114,FHA,Wholesale,Purchase,230000.0,2024-06-27,100
82403115,NONCONFORMING,Wholesale,Refinance CashOut,238500.0,2024-05-06,59
92403096,2ND,Wholesale,Refinance CashOut,213650.0,2024-04-22,46
92403112,NONCONFORMING,Wholesale,Purchase,150000.0,2024-04-05,28
92403120,CONFORMING,Wholesale,Purchase,185500.0,2024-05-14,67
62403130,NONCONFORMING,Retail,Purchase,300000.0,2024-05-22,23
82403127,2ND,Wholesale,Refinance CashOut,145000.0,2024-04-09,30
82403135,NONCONFORMING,Wholesale,Refinance CashOut,202300.0,2024-04-01,21
82403139,NONCONFORMING,Wholesale,Purchase,400000.0,2024-04-01,21
82403146,NONCONFORMING,Wholesale,Refinance CashOut,1353100.0,2024-05-07,57
82403150,2ND,Wholesale,Refinance CashOut,125000.0,2024-04-25,45
82403153,NONCONFORMING,Wholesale,Purchase,168750.0,2024-04-09,28
92403147,NONCONFORMING,Wholesale,Purchase,146250.0,2024-04-11,31
82403177,CONFORMING,Wholesale,Purchase,420000.0,2024-03-28,15
82403180,NONCONFORMING,Wholesale,Refinance CashOut,297500.0,2024-04-12,30
82403183,FHA BOND,Wholesale,Purchase,376350.0,2024-04-03,21
82403186,NONCONFORMING,Wholesale,Purchase,896000.0,2024-04-17,35
82403187,2ND,Wholesale,Purchase,14000.0,2024-03-29,16
82403188,2ND,Wholesale,Refinance CashOut,161000.0,2024-05-01,49
82403189,2ND,Wholesale,Purchase,13650.0,2024-04-03,21
82403193,2ND,Wholesale,Refinance CashOut,380000.0,2024-04-09,26
82403195,NONCONFORMING,Wholesale,Purchase,182000.0,2024-04-10,27
82403201,FHA,Wholesale,Purchase,362840.0,2024-04-16,33
82403203,CONFORMING,Wholesale,Purchase,959200.0,2024-04-04,21
62403232,CONFORMING,Retail,Purchase,515600.0,2024-04-24,34
82403210,CONFORMING,Wholesale,Purchase,535000.0,2024-05-17,64
82403212,CONFORMING,Wholesale,Refinance CashOut,355000.0,2024-04-23,39
82403213,NONCONFORMING,Wholesale,Refinance CashOut,1148000.0,2024-03-29,14
82403215,CONFORMING,Wholesale,Purchase,911250.0,2024-04-04,20
82403220,NONCONFORMING,Wholesale,Refinance CashOut,1870000.0,2024-04-17,33
82403222,NONCONFORMING,Wholesale,Purchase,1200000.0,2024-04-18,34
82403227,CONFORMING,Wholesale,Purchase,354050.0,2024-05-02,48
82403236,CONFORMING,Wholesale,Refinance CashOut,215000.0,2024-04-05,18
82403237,NONCONFORMING,Wholesale,Purchase,1500000.0,2024-05-02,45
82403239,NONCONFORMING,Wholesale,Purchase,2040000.0,2024-05-06,49
82403241,FHA BOND,Wholesale,Purchase,305905.0,2024-04-05,18
82403242,CONFORMING,Wholesale,Purchase,650750.0,2024-04-25,38
92403219,NONCONFORMING,Wholesale,Purchase,213750.0,2024-04-11,27
82403244,2ND,Wholesale,Purchase,11095.0,2024-04-05,18
82403246,CONFORMING,Wholesale,Purchase,664905.0,2024-04-19,32
82403251,CONFORMING,Wholesale,Refinance CashOut,160000.0,2024-04-16,29
82403260,2ND,Wholesale,Refinance CashOut,130000.0,2024-04-19,31
