year,month,snapshot_day,method,already_funded,projected_pipeline,projected,actual,error_pct,direction,training_mode
2025,3,22,Transition Tables,55378318.0,62816973.17513467,118195291.17513467,102069492.0,15.79884337538848,over,fixed
2025,3,22,ML,55378318.0,47785276.202814735,103163594.20281473,102069492.0,1.07191892638667,over,fixed
2025,4,0,Transition Tables,0.0,52214616.30013226,52214616.30013226,109199528.0,-52.18421063126549,under,fixed
2025,4,0,ML,0.0,94825625.44459331,94825625.44459331,109199528.0,-13.162971322922468,under,fixed
2025,4,1,Transition Tables,2190100.0,53154779.04178637,55344879.04178637,109199528.0,-49.317657268824114,under,fixed
2025,4,1,ML,2190100.0,94431571.31749755,96621671.31749755,109199528.0,-11.518233560956828,under,fixed
2025,4,8,Transition Tables,20411867.0,63621576.61132355,84033443.61132355,109199528.0,-23.04596443738882,under,fixed
2025,4,8,ML,20411867.0,87221302.94955005,107633169.94955005,109199528.0,-1.4344000190641415,under,fixed
2025,4,15,Transition Tables,46130009.0,65550252.36651326,111680261.36651325,109199528.0,2.2717436713767225,over,fixed
2025,4,15,ML,46130009.0,64569463.1968007,110699472.19680071,109199528.0,1.3735812088864603,over,fixed
2025,4,22,Transition Tables,67029225.0,71797443.70174555,138826668.70174557,109199528.0,27.131198499086523,over,fixed
2025,4,22,ML,67029225.0,42417625.042405605,109446850.0424056,109199528.0,0.22648636577037706,over,fixed
2025,5,0,Transition Tables,0.0,63021606.579500325,63021606.579500325,118258736.0,-46.70870946946336,under,fixed
2025,5,0,ML,0.0,93927012.08686355,93927012.08686355,118258736.0,-20.57499068241052,under,fixed
2025,5,1,Transition Tables,3122385.0,65677296.775985196,68799681.7759852,118258736.0,-41.82274891219436,under,fixed
2025,5,1,ML,3122385.0,95187422.73130561,98309807.73130561,118258736.0,-16.868883385236238,under,fixed
2025,5,8,Transition Tables,29874113.0,66977362.975560986,96851475.975561,118258736.0,-18.102053808894937,under,fixed
2025,5,8,ML,29874113.0,83717990.14142358,113592103.14142358,118258736.0,-3.9461210363151666,under,fixed
2025,5,15,Transition Tables,53556084.0,72106621.2428545,125662705.2428545,118258736.0,6.260822238836128,over,fixed
2025,5,15,ML,53556084.0,64452187.69125523,118008271.69125523,118258736.0,-0.21179349383945154,under,fixed
2025,5,22,Transition Tables,79391603.0,78312076.91938296,157703679.91938296,118258736.0,33.354782279579716,over,fixed
